Row,Site,RowID,GroupCount,Ci_mean,Ci_05_confint,Ci_95_confint,An_mean,An_05_confint,An_95_confint
CA_1,CA,1,7,4.45E-05,4.34E-05,4.55E-05,6.61E-07,5.24E-07,7.98E-07
CA_2,CA,2,7,8.10E-05,7.83E-05,8.37E-05,2.77E-06,2.39E-06,3.15E-06
CA_3,CA,3,7,1.17E-04,1.13E-04,1.21E-04,4.98E-06,4.37E-06,5.59E-06
CA_4,CA,4,7,1.52E-04,1.47E-04,1.58E-04,7.18E-06,6.42E-06,7.95E-06
CA_5,CA,5,7,1.88E-04,1.80E-04,1.96E-04,9.14E-06,8.28E-06,9.99E-06
CA_6,CA,6,7,2.24E-04,2.14E-04,2.35E-04,1.09E-05,9.88E-06,1.19E-05
CA_7,CA,7,7,2.60E-04,2.46E-04,2.73E-04,1.25E-05,1.13E-05,1.36E-05
CA_8,CA,8,7,2.96E-04,2.80E-04,3.12E-04,1.38E-05,1.26E-05,1.50E-05
CA_9,CA,9,7,3.71E-04,3.48E-04,3.94E-04,1.61E-05,1.46E-05,1.76E-05
CA_10,CA,10,7,4.49E-04,4.20E-04,4.79E-04,1.77E-05,1.59E-05,1.95E-05
CA_11,CA,11,7,5.30E-04,4.94E-04,5.66E-04,1.89E-05,1.68E-05,2.10E-05
CA_12,CA,12,7,6.10E-04,5.66E-04,6.54E-04,1.98E-05,1.75E-05,2.21E-05
CA_13,CA,13,7,7.06E-04,6.54E-04,7.58E-04,2.05E-05,1.83E-05,2.27E-05
CA_14,CA,14,7,8.04E-04,7.33E-04,8.75E-04,2.11E-05,1.88E-05,2.34E-05
NM_1,NM,1,15,1.54E-05,1.00E-05,2.08E-05,-4.05E-07,-8.11E-07,3.45E-10
NM_2,NM,2,15,3.96E-05,3.46E-05,4.45E-05,1.44E-06,1.03E-06,1.85E-06
NM_3,NM,3,15,6.70E-05,5.92E-05,7.48E-05,3.49E-06,2.67E-06,4.32E-06
NM_4,NM,4,15,1.24E-04,1.14E-04,1.35E-04,7.69E-06,6.42E-06,8.96E-06
NM_5,NM,5,15,1.85E-04,1.71E-04,1.99E-04,1.14E-05,9.63E-06,1.31E-05
NM_6,NM,6,15,2.57E-04,2.32E-04,2.81E-04,1.51E-05,1.31E-05,1.71E-05
NM_7,NM,7,15,3.87E-04,3.43E-04,4.31E-04,1.88E-05,1.66E-05,2.10E-05
NM_8,NM,8,15,5.37E-04,4.87E-04,5.87E-04,2.08E-05,1.89E-05,2.27E-05
NM_9,NM,9,9,6.71E-04,5.82E-04,7.60E-04,2.13E-05,1.90E-05,2.36E-05
TX_1,TX,1,10,1.10E-05,9.73E-06,1.23E-05,-1.06E-06,-1.24E-06,-8.81E-07
TX_2,TX,2,10,3.71E-05,3.58E-05,3.84E-05,1.00E-06,8.56E-07,1.15E-06
TX_3,TX,3,10,6.72E-05,6.36E-05,7.08E-05,3.16E-06,2.74E-06,3.58E-06
TX_4,TX,4,10,1.26E-04,1.17E-04,1.35E-04,7.43E-06,6.45E-06,8.42E-06
TX_5,TX,5,10,1.84E-04,1.70E-04,1.98E-04,1.13E-05,9.80E-06,1.29E-05
TX_6,TX,6,10,2.48E-04,2.27E-04,2.68E-04,1.49E-05,1.31E-05,1.68E-05
TX_7,TX,7,10,3.86E-04,3.00E-04,4.71E-04,1.96E-05,1.64E-05,2.27E-05
TX_8,TX,8,10,5.35E-04,4.42E-04,6.27E-04,2.34E-05,2.11E-05,2.58E-05
TX_9,TX,9,9,6.60E-04,5.69E-04,7.50E-04,2.54E-05,2.31E-05,2.77E-05